,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
24,数据分析师,https://www.lagou.com/jobs/6271450.html,黄浦区,20k-40k,信用生活（广州）智能科技有限公司,3-5年,本科,行业领先的薪酬、顶尖专家培养,【主要职责】1、数据处理工作：清洗、整合数据；2、根据项目目标进行数据分析和挖掘工作，并撰写分析报告；3、结合分析经验和业务知识，开发并落地相应的业务策略。【任职要求】1、数学、统计、计算机、金融等相关专业全日制本科以上学历，并有1年以上银行或消金数据分析工作经验（本要求可根据个人能力无视）；2、至少熟悉SQL/Python/SAS其中之一，并能运用上述工具独立完成数据清洗工作；3、熟悉常用的数据分析方法，能快速的构建问题框架和分析框架；4、熟悉基本统计算法，如决策树、逻辑回归等；5、能够接受出差；6、良好的沟通能力和团队协助能力。,,,,,,,,,,,,,,,,,,,,
25,数据分析师-上海,https://www.lagou.com/jobs/4757428.html,静安区,15k-30k,神策网络科技（北京）有限公司,不限,本科,五险一金,午餐补助,补充医疗,14薪,工作职责：1、以帮助客户发现业务问题、发挥数据价值为导向，能深入理解客户业务需求与痛点，确定客户业务问题与目标，并给予有效的数据解决方案；2、从客户业务需求场景出发，指导/协助客户完成多维度指标体系的梳理和建设，并能完成数据采集、管理、分析与应用全流程工作；3、调动公司内部资源，完成神策分析系统在客户侧的部署及培训，帮助客户实现数据驱动业务的落地与迭代；4、以解决客户问题为目标，结合行业经验与方法论，提供咨询服务和专题分析报告；5、总结梳理垂直领域以及标准化实施流程/手册/文档，提升内部数据工作效率；6、梳理客户成功案例，形成行业指标均值，沉淀领域知识，形成知识库；7、与产品部门、技术部门配合不断提升数据产品的易用性，形成产品改进文档。岗位要求：1、三年以上互联网/咨询行业数据分析经验，本科及以上学历，数学及计算机相关专业优先；2、具备优秀的数据分析能力、以及业务感觉，有丰富的数据驱动业务的实战经验；3、熟练使用统计分析工具，逻辑严谨，能够独立分析和解决问题；4、具备优秀的沟通意识，良好的现场表达能力，能够独立负责和跟进项目；具备极强的学习能力和自我驱动意识，能够发现问题并解决问题；5、熟悉数据平台的整体搭建，熟练使用 SQL/R/Python/Excel 等工具。,,,,,,,,,,,,,,,,,
26,数据分析师,https://www.lagou.com/jobs/6009986.html,徐汇区,15k-30k,深圳苹果树数据科技有限公司,不限,本科,老板nice，发展空间大，五险一金,工作职责：1.负责数据项目的前期研究分析与规划；2.合理设计数据加工流程、规则、方法的整体方案；3.审核重要数据的准确性和专业性，确保数据的高质量3.完成数据处理、收集、整理和录入工作4.与产品经理合作完成特定数据研究，配合团队完成产品开发工作。任职要求：1.金融、经济、金融工程、财会、数理统计等专业本科或研究生及以上毕业；2.1年以上工作经验，有金融行业数据加工经验优先。3.\xa0具有固定收益行业相关知识、背景优先4.\xa0熟悉数据库，能熟练进行相关操作，熟练使用sql语句；5.\xa0敏锐的数据洞察和分析能力，具备利用数据分析解决问题的能力；6.能够主动获取新知识，具有较强领悟力，有系统性思考解决问题能力；7.\xa0细心、踏实，具有一定的抗压能力和团队协调性。,,,,,,,,,,,,,,,,,,,,
27,数据分析师 (MJ000268),https://www.lagou.com/jobs/5318879.html,徐汇区,10k-20k,星环信息科技（上海）有限公司,不限,本科,六险二金 带薪年假 定期团建,岗位职责：1.对公司管理数据进行数据挖掘，分析数据，提供分析报告，为公司内部管理和运营决策等提供优化建议的报表和报告2.对公司现有市场和未来市场能从行业角度结合实际情况做分析，建模，为公司运营以及产品决策等提供建议和报告和报表3.会参与到实际客户和项目数据的收集，包括通过市场调研手段获取新的数据等，负责数据监测；有效数据提取，清洗，定期提供各种数据分析\xa0任职资格:1.重点本科及以上学历，计算机，数学，统计学或者相关的专业；2.2年以上数据分析工作经验；3.精通Excel，熟练使用Python语言进行数据分析4.逻辑清晰、有较强的判断力及抗压能力；5.互联网数据分析工作经验优先；,,,,,,,,,,,,,,,,,,,,
28,数据分析师,https://www.lagou.com/jobs/5528843.html,浦东新区,20k-30k,上海你我贷互联网金融信息服务有限公司,3-5年,本科,弹性工作制 奖金丰厚 领导NICE,1、梳理整个贷后运营报表体系，并推动报表或数据产品上线2、监控相关指标异常并及时分析挖掘原因并推动改善3、满足领导及各部门临时数据需求，并总结形成常规报表或者数据产品4、积极主动开展各项专项分析，形成策略报告并推动运营落地,,,,,,,,,,,,,,,,,,,,
29,数据分析师,https://www.lagou.com/jobs/6276635.html,浦东新区,20k-28k,上海小牛互娱智能科技有限公司,5-10年,本科,大牛多，气氛好,工作职责:1. 深入了解产品和业务，对问题进行深入数据分析，帮助运营决策、产品和业务策略发现、分析和解决问题，并建立相关的分析模型2. 设计和验证数据分析模型，比如市场商业数据、用户数据、用户画像等3. 深入专题分析，为公司互联网业务的运营决策提供全链路数据支持,对业务的数据策略进行优化4. 带领低阶分析师成长，共同为业务输出价值任职资格:1. 本科或硕士以上学历，计算机、统计、数学相关专业2. 熟练的Excel图表使用、PPT撰写，熟悉SQL/数据库/hive，精通R/python进行数据分析，了解Tableau等BI工具3. 工作态度积极主动，有较好的团队精神和沟通能力，工作细致认真4. 参与过互联网项目，具备相关行业业务数据分析经验，熟悉本类数据链路、指标和分析思路,,,,,,,,,,,,,,,,,,,
30,数据分析经理,https://www.lagou.com/jobs/5009945.html,闵行区,26k-40k,上海钧正网络科技有限公司,5-10年,不限,14薪,E轮,期权奖励,岗位职责：1、对用户用车规律、单车运行轨迹等复杂行为进行全面分析，挖掘有价值的信息，用数据驱动产品设计和运营策略，进而改善业务。2、带领小组与业务团队密切配合，用数据驱动产品设计和运营策略，进而改善业务。任职要求：1. 统计相关专业，本科及以上学历2. 3年以上数据分析相关工作，知名互联网公司背景优先3. 熟练使用sql /hive/sas4. 优秀的逻辑思考能力，对数据敏感，具有一定商业思维5. 优秀的统计分析基础，熟练掌握概率论、参数估计、回归模型、假设检验、多元统计分析等常用统计方法,,,,,,,,,,,,,,,,,,
31,数据分析师,https://www.lagou.com/jobs/6207121.html,杨浦区,15k-30k,上海跃橙文化传播有限公司,5-10年,不限,团队氛围好，弹性上班，餐补,职位描述：1、数据分析和建模，可视化分析，数据预测性分析（建模）2、数据大盘的整理及分析，数据日报、周报、月报的输出3、对所支持业务进行整体把握，进行业务分析，提供业务策略建议和业务分析报告4、熟练掌握word、Excel操作任职要求:1、数学、统计学本科及以上学历，硕士学历优先考虑;2、 3年以上互联网、金融行业数据分析、数据挖掘工作经验；3、熟悉决策树、时间序列模型、回归分析模型、聚类挖掘、贝叶斯、关联规则挖掘等数据统计模型和挖掘技术，并有独立完整的建模实践经验；4、熟悉sql、R、Python等语言，熟练使用SPSS、SAS等数据分析工具；5、对数据驱动业务有深入理解，对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力；,,,,,,,,,,,,,,,,,,,,
32,数据分析师,https://www.lagou.com/jobs/5134571.html,浦东新区,8k-15k,思凯思特（北京）科技有限公司,1-3年,本科,六险一金,带薪休假,弹性工作,扁平管理,职位描述：1、负责为业务部门提供数据支持分析统计报表；2、负责跟产品等业务部门沟通数据需求；3、负责规划梳理落地数据产品指标体系；4、负责数据异常情况撰写分析报告，并推进解决方案落地实施。任职要求：1、本科以上学历，数学、物理、计算机，风险管理等理工科专业毕业，有扎实的数据分析功底；2、熟练掌握SQL等模型统计分析工具的使用，有R/Python的使用经验尤佳；3、善于沟通，能够深入了解业务、挖掘业务问题和痛点；4、思维敏捷，良好的逻辑分析能力及问题解决能力；5、良好的跨团队沟通及推动能力，强烈的主驱动意识。,,,,,,,,,,,,,,,,,
33,数据分析师（上海）,https://www.lagou.com/jobs/6263457.html,徐汇区,15k-25k,上海氪信信息技术有限公司,1-3年,本科,精英团队，弹性工作，超长年假，福利优厚,客户以银行类为主，有出差/驻场的需要。【职位描述】1、日常数据监控以及数据预警，异常数据解读挖掘，并找出解决方案；2、负责日常的数据分析工作，包括数据获取、数据清理、数据分析，并且从分析结果中寻找insights，并形成简明扼要的分析报告；3、参与数据产品的迭代工作，并且通过数据分析工作获得的insights在一定程度上给予评估和建议。【职位要求】1、985/211院校或者国外知名院校理工科专业，本科或以上学历；数学、统计、计算机软件、运筹学、经济学、管理信息系统等专业优先；2、熟练使用Python/R等数据分析常用语言，会使用shell、perl等脚本语言优先；3、至少2年以上数据分析经验（知名互联网公司相关经验优先考虑），结构化思维，对数据极其敏感，自我驱动，能通过数据主动发现问题并解决问题；4、熟悉数据库查询语言，包括但不限于hive/oracle/mysql等；5、积极主动、善于沟通，能够快速理解业务需求。,,,,,,,,,,,,,,,,,,,,
34,数据分析师（算法方向）,https://www.lagou.com/jobs/6313174.html,静安区,15k-30k,上海欢兽实业有限公司,3-5年,本科,扁平化管理,平台大,奖金多,15薪,岗位职责1、负责大数据项目业务模型梳理，算法原型开发和验证;2、支持大数据团队完成新基础算法的工程化;3、支持项目团队，产品团队对于核心算法的选择和应用。任职要求1、计算机、数学、统计学及相关专业本科以上学历。计算机，数学专业优先;2、了解常用的推荐算法，预测算法，对深度学习有见解者优先;3、熟悉R,Python,Spark SQL,Spark ML等数据分析工具和语言；4、具备3年以上hadoop开发经验，精通java或者scala;5、有独立分析和解决问题的能力；6、有较强的学习能力，能够迅速掌握新技能；7、能够承担一定工作压力，具备创新思维、具备团队协作精神。,,,,,,,,,,,,,,
36,数据分析师（营销方向）,https://www.lagou.com/jobs/6341742.html,浦东新区,20k-30k,上海数禾信息科技有限公司,3-5年,本科,移动金融,未来金矿,精英团队,助力成长,岗位职责：1、根据业务目标需要，开发用户响应、流失预警等营销模型，和运营业务团队一起运用模型完善业务经营策略和营销方案。2、建立和完善业务运营指标数据，跟踪预测客群走势。支持信贷业务数据库报表规划管理与业务数据探查分析。3、分析评估公司内外数据和变量，提出数据引入、使用方面的策略。\xa0任职资格：1、大学本科（含）以上学历，数理、金融、计算机等专业毕业2、具有较强的数据分析能力和逻辑思维能力，具有一定的模型经验3、熟练处理各种数据,熟练运用SQL，4、精通SAS/R/Python等至少一种数据处理分析语言5、熟练应用办公软件Excel、Word、PowerPoint等6、具有2年以上银行、消费金融公司、P2P公司、小贷公司运营、风险管理等相关工作经验,,,,,,,,,,,,,,,,
37,数据分析师,https://www.lagou.com/jobs/5999471.html,浦东新区,30k-60k,深圳平安综合金融服务有限公司,5-10年,本科,福利好,技术牛人多,奖金多,平台好,主要职责1、负责构建用户标签体系框架，对海量用户行为、交易、公开数据等进行分析，挖掘用户行为特征；2、针对行业关键客户/典型需求，负责大数据产品的规划，需求分析和产品设计和定义；3、基于现有真实用户行为数据，能够从数据中发现用户的需求和业务场景；4、关注大数据在金融及互联网应用相关方向的前沿研究，并将相关成果快速落地、产品化；5、监测分析产品运营状况，持续优化产品功能改造和业务拓展方向，提出和落实产品优化改造方案。6、撰写专题大数据分析报告。\xa0 \xa0任职要求\xa0\xa01、5年及以上数据分析相关工作经验；2、精通Spark R Hive等软件，建模能力强，有大数据挖掘经历优先；3、具备优秀的业务理解能力，对数字敏感，有较强逻辑分析与协调能力。4、负责平台数据提取、数据挖掘及数据分析，具有良好的商业敏感度和优秀的数据分析技能，能够解决复杂的商业问题。5、主动好学，具备良好的沟通合作技巧，较强的责任心及团队合作精神，并有一定领导经验6、熟练掌握数据结构，操作系统，数据库原理等7、熟悉深度学习和机器学习，能规划公司AI方向，并落实.,,,,,,,,,,,,,,,,,
38,数据分析师（上海）,https://www.lagou.com/jobs/6335047.html,黄浦区,8k-10k,天津市国瑞数码安全系统股份有限公司,1-3年,本科,五险一金、带薪年假、节日福利、食堂,岗位描述：1、负责做好有关信息系统的业务工作；\xa02、负责相关运行数据的统计分析工作；3、在业务工作中发现问题，提出优化解决方案；4、按要求完成其他工作任务。\xa0任职资格：1、通信、电子信息及计算机相关专业；2、认真负责的工作态度，善于发现问题，解决问题；3、良好的沟通协调能力；4、熟练掌握office办公软件、SQL数据库等。,,,,,,,,,,,,,,,,,,,,
39,数据分析师,https://www.lagou.com/jobs/6227509.html,闸北区,15k-25k,易玩（上海）网络科技有限公司,1-3年,本科,迅速成长,岗位职责：- 能在指导下按照要求完成数据的搜集、整理、逻辑处理并按时按质产出分析报告 ；- 能在指导下独立完成指标体系的梳理、维护 ；- 项目管理，协同产品、数据、业务部门推进数据产品的落地；- 能在指导下理解某个业务主题的分析逻辑，并产出相应的经营分析数据指标。任职要求：- 两年以上数据分析经验，有互联网行业分析经验优先 ；- 全日制本科以上学历，数学、统计、经济专业优先 ；- 较强的数学、统计和计算机知识，熟悉相关、回归、聚类分析、主成分分析等统计方法 ；- 主要skill set：excel能力突出，精通SQL- 会Python Pandas 或R 进行数据分析加分；- 具有数据和业务的敏感性，具备良好的逻辑分析能力，能够清晰有结构层次的表达观点和想法；- 具备良好的沟通能力，能够进行跨团队的沟通协调；,,,,,,,,,,,,,,,,,,,,
41,数据分析师,https://www.lagou.com/jobs/5438595.html,浦东新区,20k-35k,证通股份有限公司,3-5年,本科,公司平台稳定有潜力,补充公积金,补充医疗,岗位职责：1.研究并理解证券行业的业务需求和痛点，根据公司产品和业务流程需求，使用正确的数据分析方法解决业务问题并提供决策；2.负责数据质量监控和数据标准制定；\xa03.负责资本市场企业风险相关数据模型开发和分析报告编写；\xa04.独力负责数据分析类项目中分析模块的实施，通过监控分析及时发现业务数据问题。任职要求：1.统计、数学、金融及相关专业本科及以上学历，具备复合型教育背景者优先；\xa02.3年以上的数据分析工作经验，具有证券行业从业经验；3.熟悉常用的数据挖掘与机器学习模型并有实际使用经验，有深度学习的项目经验更佳；\xa04.掌握SQL，能够熟练操作常用关系型数据库、大数据平台进行数据分析；\xa05.具有良好的洞察力，善于分析和解读数字，并将洞察分析和业务逻辑相结合；6.具有良好的口头和书面沟通表达能力，尤其是与非数据分析背景同事交流的能力，具有良好的团队协作精神。7.对数字敏感，并具备较强的逻辑思维能力，良好的沟通与创新能力；8.较好的人际沟通协调能力、协作能力及综合判断能力。\xa09.熟悉万得、财汇上市公司/债券/宏观金融数据库，企业工商、司法、舆情等另类数据分析者优先。,,,,,,,,,,,,,,,,,,
42,数据分析师,https://www.lagou.com/jobs/5645952.html,浦东新区,20k-40k,上海任意门科技有限公司,3-5年,本科,高薪资,平台好,潜力大,氛围浓,工作职责：对业务数据分析挖掘相关工作负责，通过数据分析和数据挖掘，找到业务增长的改进点，调优建议和方向。包括但不限于：\xa0（1）梳理业务逻辑，构建业务指标体系，利用数据驱动业务提升。（2）针对平台数据走势，异常波动等情况，定期做出专项数据分析报告，并提出解决方案，成功影响、指导业务决策。（3）针对竞品，新玩法，新功能，新活动的效果，进行数据分析，能将方法和思路提炼为产品需求。\xa0（4）一些临时性的数据需求。任职要求：（1）2年以上互联网产品数据分析经验，数据分析和思维逻辑能力强，熟悉数据体系建设，数据需求，落实着地。\xa0（2）有成熟的数据分析和数据挖掘经验。至少熟练掌握一种查询工具（SQL、hive）。 至少数量掌握一种分析工具（SPSS、R语言、SAS等）。\xa0（3）工作细致，耐心，有强烈的责任感。工作主动性强，跨团队沟通协作能力良好，抗压能力强；（4）数据分析相关专业背景，统计学、数学、计算机等相关专业优先,,,,,,,,,,,,,,,,,
